https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1615507200000,2021-03-12 00:00:00,AAVE/USDT,406.176,409.685,359.686,374.439,486347.1,185715221.3093,267290
1615420800000,2021-03-11 00:00:00,AAVE/USDT,406.594,416.243,387.577,406.192,414972.5,168072957.0117,235038
1615334400000,2021-03-10 00:00:00,AAVE/USDT,445.241,460.425,398.179,406.952,523975.2,224376361.6235,299895
1615248000000,2021-03-09 00:00:00,AAVE/USDT,437.608,453.431,417.487,445.133,422337.5,182820894.2281,233191
1615161600000,2021-03-08 00:00:00,AAVE/USDT,414.771,438.500,391.493,437.608,526709.3,217908348.3424,286303
1615075200000,2021-03-07 00:00:00,AAVE/USDT,388.165,419.990,384.150,414.765,452360.0,182850472.5433,258736
1614988800000,2021-03-06 00:00:00,AAVE/USDT,367.292,391.221,352.115,388.119,247320.7,91612194.3319,172063
1614902400000,2021-03-05 00:00:00,AAVE/USDT,374.695,377.287,340.000,367.408,325566.5,116252181.8012,179888
1614816000000,2021-03-04 00:00:00,AAVE/USDT,396.758,411.432,365.816,374.408,410546.4,159684465.8712,213727
1614729600000,2021-03-03 00:00:00,AAVE/USDT,391.509,420.140,383.989,396.551,397737.7,160759521.5904,202859
1614643200000,2021-03-02 00:00:00,AAVE/USDT,385.707,419.159,374.711,391.383,580928.3,228776290.0877,287422
1614556800000,2021-03-01 00:00:00,AAVE/USDT,354.543,389.563,350.703,385.591,522257.1,195660432.9604,262382
1614470400000,2021-02-28 00:00:00,AAVE/USDT,332.955,366.476,300.023,354.498,469786.8,154525800.4563,227725
1614384000000,2021-02-27 00:00:00,AAVE/USDT,323.271,350.000,323.267,333.032,313408.2,106019278.9981,158521
1614297600000,2021-02-26 00:00:00,AAVE/USDT,339.321,354.762,304.000,323.417,512070.6,169113409.5496,226588
1614211200000,2021-02-25 00:00:00,AAVE/USDT,367.131,389.237,335.151,339.285,422997.1,155585084.6509,199308
1614124800000,2021-02-24 00:00:00,AAVE/USDT,364.398,406.400,341.608,366.993,603890.1,230497097.1941,303782
1614038400000,2021-02-23 00:00:00,AAVE/USDT,400.824,404.829,280.000,364.411,1089692.9,368585469.4064,547749
1613952000000,2021-02-22 00:00:00,AAVE/USDT,437.927,452.589,331.660,401.031,836659.3,340661322.6495,413634
1613865600000,2021-02-21 00:00:00,AAVE/USDT,441.297,457.000,420.000,437.748,474950.0,209487995.1364,253045
1613779200000,2021-02-20 00:00:00,AAVE/USDT,420.444,504.411,405.461,441.261,1154939.1,534333490.4750,586893
1613692800000,2021-02-19 00:00:00,AAVE/USDT,442.463,449.542,406.000,420.365,518975.7,222737892.6041,253492
1613606400000,2021-02-18 00:00:00,AAVE/USDT,452.108,480.919,435.055,442.217,411254.2,189737430.7059,207289
